Date,Ticker,ShortName,RedCode,Tier,Ccy,DocClause,Contributor,Spread6m,Spread1y,Spread2y,Spread3y,Spread4y,Spread5y,Spread7y,Spread10y,Spread15y,Spread20y,Spread30y,Recovery,Rating6m,Rating1y,Rating2y,Rating3y,Rating4y,Rating5y,Rating7y,Rating10y,Rating15y,Rating20y,Rating30y,CompositeCurveRating,CompositeDepth5y,Sector,Region,Country,AvRating,ImpliedRating,CompositeLevel6m,CompositeLevel1y,CompositeLevel2y,CompositeLevel3y,CompositeLevel4y,CompositeLevel5y,CompositeLevel7y,CompositeLevel10y,CompositeLevel15y,CompositeLevel20y,CompositeLevel30y,CompositeLevelRecovery
5-Sep-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.11%,,0.12%,,0.14%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,Thin,,DocAdj,DocAdj,DocAdj,,,,
6-Sep-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.11%,,0.12%,,0.14%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,Thin,,DocAdj,DocAdj,DocAdj,,,,
7-Sep-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.11%,,0.12%,,0.14%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,Thin,,DocAdj,DocAdj,DocAdj,,,,
10-Sep-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.11%,,0.12%,,0.14%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,Thin,,DocAdj,DocAdj,DocAdj,,,,
11-Sep-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.11%,,0.12%,,0.14%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,Thin,,DocAdj,DocAdj,DocAdj,,,,
12-Sep-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.12%,,0.12%,,0.15%,0.17%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
13-Sep-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.15%,,0.14%,,0.16%,0.18%,0.26%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,Thin,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
14-Sep-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.15%,,0.14%,,0.16%,0.18%,0.26%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,Thin,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
17-Sep-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.15%,,0.14%,,0.16%,0.20%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,Thin,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
18-Sep-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.15%,,0.14%,,0.16%,0.20%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,Thin,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
